Species,n_sites,n_branches,n_surveys
American hornbeam,7,25,436
American beech,6,46,943
Red maple,6,14,352
Sugar maple,5,21,496
Flowering dogwood,3,10,173
Sourwood,3,3,102
Tuliptree,3,3,72
Sweetgum,2,19,772
Eastern redbud,2,8,103
Elm spp.,2,7,90
White oak,2,5,70
Blackgum,2,4,125
Pawpaw,2,3,111
Southern sugar maple,2,3,31
Black cherry,1,8,106
Spicebush,1,8,377
Boxelder,1,7,300
Common persimmon,1,7,300
Japanese maple,1,4,36
Slippery elm,1,4,36
Chalk maple,1,3,128
Red buckeye,1,3,27
Serviceberry spp.,1,3,41
Southern red oak,1,3,51
American hazelnut,1,2,84
Dwarf pawpaw,1,2,83
Japanese privet,1,2,22
Northern spicebush,1,2,20
Red oak,1,2,40
White mulberry,1,2,86
Willow oak,1,2,18
Winged elm,1,2,38
American bladdernut,1,1,41
American sycamore,1,1,43
American witch-hazel,1,1,9
Bitternut hickory,1,1,43
Black oak,1,1,43
Black walnut,1,1,43
Buckeye spp.,1,1,43
Calycanthus sp.,1,1,11
Carolina ash,1,1,43
Carolina silverbell,1,1,43
Cherry and plum spp.,1,1,9
Chestnut oak,1,1,44
Cucumber magnolia,1,1,43
Hazel alder,1,1,43
Hickory spp.,1,1,9
Merrill magnolia,1,1,9
N/A,1,1,9
Na,1,1,20
Pin oak,1,1,44
Rhododendron spp.,1,1,9
Rose of sharon,1,1,9
Scarlet oak,1,1,11
Swamp white oak,1,1,9
